date,ticker,entry_price,z_vol,z_range,z_flow,z_lambda,entry_status,initial_score,price_d1,price_d3,price_d5,return_d1,return_d3,return_d5,is_completed
2026-09-08,CYTK,76.345,-1.8,6.0,3.64,2.5,NORMAL GİRİŞ,99.5,,,,,,,0
2026-09-08,LEU,185.3399,-1.72,6.0,3.66,2.91,⚠️ GEÇ KALINDI (Tepeden Alım Riski),95.6,,,,,,,0
2026-09-08,MP,56.79,-1.8,4.3,2.71,1.65,🎯 İDEAL GİRİŞ BÖLGESİ,92.7,51.32,,,-9.63,,,0
2026-09-08,LMT,540.485,-1.76,6.0,3.22,0.77,🎯 İDEAL GİRİŞ BÖLGESİ,86.1,524.46,,,-2.96,,,0
2026-09-08,BG,125.73,-2.0,6.0,2.92,2.75,NORMAL GİRİŞ,85.0,,,,,,,0
2026-09-08,XE,19.525,-1.3,1.73,3.34,3.47,⚠️ GEÇ KALINDI (Tepeden Alım Riski),84.1,,,,,,,0
2026-09-08,FANG,204.33,-2.0,5.62,3.26,1.52,🎯 İDEAL GİRİŞ BÖLGESİ,82.5,202.63,,,-0.83,,,0
2026-09-08,OKLO,44.1299,-1.39,4.7,2.65,1.3,⚠️ GEÇ KALINDI (Tepeden Alım Riski),80.2,42.57,,,-3.53,,,0
2026-09-08,TER,373.89,-1.56,6.0,2.51,0.66,NORMAL GİRİŞ,78.1,383.69,,,2.62,,,0
2026-09-08,PBF,77.5,-2.0,1.9,2.97,2.28,🎯 İDEAL GİRİŞ BÖLGESİ,77.8,77.08,,,-0.54,,,0
2026-09-08,CCJ,103.7011,-2.0,3.94,2.4,1.81,🎯 İDEAL GİRİŞ BÖLGESİ,76.6,,,,,,,0
2026-09-08,USAR,18.09,-1.57,-0.4,2.65,1.19,🎯 İDEAL GİRİŞ BÖLGESİ,72.7,16.04,,,-11.33,,,0
2026-09-08,CRDO,172.5201,-1.75,6.0,2.51,0.12,NORMAL GİRİŞ,70.7,167.92,,,-2.67,,,0
2026-09-08,RIOT,22.39,-1.86,-0.25,2.7,1.14,🎯 İDEAL GİRİŞ BÖLGESİ,69.5,22.07,,,-1.43,,,0
2026-09-08,MPC,398.09,-2.0,6.0,2.17,0.82,🎯 İDEAL GİRİŞ BÖLGESİ,68.2,399.44,,,0.34,,,0
2026-09-08,WELL,238.78,-2.0,6.0,3.09,0.88,NORMAL GİRİŞ,68.0,235.9,,,-1.21,,,0
2026-09-08,ECHO,92.7,-1.85,3.92,0.4,1.73,🎯 İDEAL GİRİŞ BÖLGESİ,67.9,,,,,,,0
2026-09-08,SMCI,40.847,-1.69,1.46,2.42,0.31,🎯 İDEAL GİRİŞ BÖLGESİ,67.2,38.93,,,-4.69,,,0
2026-09-08,CIFR,18.555,-1.91,0.15,2.92,1.33,NORMAL GİRİŞ,65.5,16.9,,,-8.92,,,0
2026-09-08,EQIX,1043.12,-2.0,6.0,3.44,0.41,NORMAL GİRİŞ,65.5,1043.06,,,-0.01,,,0
2026-09-08,SEI,64.74,1.75,6.0,2.79,2.25,⚠️ GEÇ KALINDI (Tepeden Alım Riski),99.5,67.67,,,4.53,,,0
